"","time","betalow","beta","betahigh"
"1",1,8.81652449440863e-05,9.97544875366835e-05,0.0001128573475537
"2",2,8.81652449440863e-05,9.97544875366835e-05,0.0001128573475537
"3",3,8.86903172262673e-05,0.00010035501583675,0.000113546393872418
"4",4,8.86903172262673e-05,0.00010035501583675,0.000113546393872418
"5",5,0.000103881786789369,0.000117696201272805,0.000133339580990958
"6",6,0.000103881786789369,0.000117696201272805,0.000133339580990958
"7",7,0.000108646766977176,0.000123410699296014,0.000140172798768488
"8",8,0.000108646766977176,0.000123410699296014,0.000140172798768488
"9",9,9.88926324025991e-05,0.00011263437410694,0.000128276957349198
"10",10,9.88926324025991e-05,0.00011263437410694,0.000128276957349198
"11",11,0.000108078350619708,0.000123218949271,0.000140471645195558
"12",12,0.000108078350619708,0.000123218949271,0.000140471645195558
"13",13,0.000108108868169825,0.000123321951870386,0.000140666205930687
"14",14,0.000108108868169825,0.000123321951870386,0.000140666205930687
"15",15,0.000107581855994385,0.000122929152868047,0.000140456820803857
"16",16,0.000107581855994385,0.000122929152868047,0.000140456820803857
"17",17,9.78928653260297e-05,0.000111778956769741,0.000127626554465044
"18",18,9.78928653260297e-05,0.000111778956769741,0.000127626554465044
"19",19,9.95956534824537e-05,0.00011339965793443,0.000129108636187441
"20",20,9.95956534824537e-05,0.00011339965793443,0.000129108636187441
"21",21,9.93110747524698e-05,0.00011300368458501,0.000128576290136704
"22",22,9.93110747524698e-05,0.00011300368458501,0.000128576290136704
"23",23,8.59513731248457e-05,9.76589295526482e-05,0.000110954289448121
"24",24,8.59513731248457e-05,9.76589295526482e-05,0.000110954289448121
"25",25,8.24927090360197e-05,9.327680728931e-05,0.000105464259096258
"26",26,8.24927090360197e-05,9.327680728931e-05,0.000105464259096258
"27",27,8.56340380588453e-05,9.65435918798054e-05,0.000108836140028149
"28",28,8.56340380588453e-05,9.65435918798054e-05,0.000108836140028149
"29",29,9.47930775208674e-05,0.000106949364169623,0.000120656763712613
"30",30,9.47930775208674e-05,0.000106949364169623,0.000120656763712613
"31",31,0.000122954986015459,0.000139599541613641,0.000158483524109358
"32",32,0.000122954986015459,0.000139599541613641,0.000158483524109358
"33",33,0.000104155864291688,0.00011895861991749,0.000135856912236863
"34",34,0.000104155864291688,0.00011895861991749,0.000135856912236863
"35",35,9.79498141624577e-05,0.000111793543667166,0.000127586528341585
"36",36,9.79498141624577e-05,0.000111793543667166,0.000127586528341585
"37",37,0.000102743535008412,0.00011710767306066,0.000133471646011456
"38",38,0.000102743535008412,0.00011710767306066,0.000133471646011456
"39",39,0.000103687077349335,0.000118145664417284,0.000134612215869231
"40",40,0.000103687077349335,0.000118145664417284,0.000134612215869231
"41",41,9.83383324451251e-05,0.000112100267063725,0.000127779295480553
"42",42,9.83383324451251e-05,0.000112100267063725,0.000127779295480553
"43",43,0.000106531518845599,0.000121361233685485,0.000138246241121822
"44",44,0.000106531518845599,0.000121361233685485,0.000138246241121822
"45",45,9.71555911677202e-05,0.000110658091718889,0.000126029330100518
"46",46,9.71555911677202e-05,0.000110658091718889,0.000126029330100518
"47",47,9.50037646854317e-05,0.000108036040564271,0.000122847855397278
"48",48,9.50037646854317e-05,0.000108036040564271,0.000122847855397278
"49",49,0.000105031924620365,0.000119349032158556,0.000135609318544346
"50",50,0.000105031924620365,0.000119349032158556,0.000135609318544346
"51",51,8.60039416446568e-05,9.78095526672492e-05,0.000111227901046346
"52",52,8.60039416446568e-05,9.78095526672492e-05,0.000111227901046346
