"","time","betalow","beta","betahigh"
"1",1,0.000383654617596977,0.000423047577463707,0.00046644267991729
"2",2,0.000383654617596977,0.000423047577463707,0.00046644267991729
"3",3,0.000360096139583763,0.000396970997541995,0.00043758143876336
"4",4,0.000360096139583763,0.000396970997541995,0.00043758143876336
"5",5,0.000367515978079245,0.00040448724978257,0.00044514235587249
"6",6,0.000367515978079245,0.00040448724978257,0.00044514235587249
"7",7,0.000362167219524941,0.000398654143726448,0.00043878312657994
"8",8,0.000362167219524941,0.000398654143726448,0.00043878312657994
"9",9,0.000317270401580789,0.000349539082637503,0.000385060394329179
"10",10,0.000317270401580789,0.000349539082637503,0.000385060394329179
"11",11,0.000368569160955923,0.00040543351804094,0.000445945838764267
"12",12,0.000368569160955923,0.00040543351804094,0.000445945838764267
"13",13,0.000387953327346201,0.00042666542087794,0.000469207056614859
"14",14,0.000387953327346201,0.00042666542087794,0.000469207056614859
"15",15,0.000367972928933241,0.000405563832622184,0.00044695880160739
"16",16,0.000367972928933241,0.000405563832622184,0.00044695880160739
"17",17,0.000372731882215569,0.000411061102565922,0.000453292850634666
"18",18,0.000372731882215569,0.000411061102565922,0.000453292850634666
"19",19,0.000418346788804179,0.000461268036615375,0.000508550553144386
"20",20,0.000418346788804179,0.000461268036615375,0.000508550553144386
"21",21,0.000416691440058846,0.000460634462139111,0.000509171139095704
"22",22,0.000416691440058846,0.000460634462139111,0.000509171139095704
"23",23,0.000386667794249837,0.000427087577956607,0.000471696079456807
"24",24,0.000386667794249837,0.000427087577956607,0.000471696079456807
"25",25,0.000363482269682176,0.000400641190376653,0.000441565379815832
"26",26,0.000363482269682176,0.000400641190376653,0.000441565379815832
"27",27,0.000335806751298907,0.000369421511246237,0.000406370317218284
"28",28,0.000335806751298907,0.000369421511246237,0.000406370317218284
"29",29,0.000314946076815322,0.00034642765609002,0.000381025995282183
"30",30,0.000314946076815322,0.00034642765609002,0.000381025995282183
"31",31,0.000347508551348423,0.000381774348813174,0.000419386173112105
"32",32,0.000347508551348423,0.000381774348813174,0.000419386173112105
"33",33,0.000354595126379301,0.000389768111838811,0.000428396580073421
"34",34,0.000354595126379301,0.000389768111838811,0.000428396580073421
"35",35,0.00034705339324696,0.000382237884710623,0.000420958660851275
"36",36,0.00034705339324696,0.000382237884710623,0.000420958660851275
"37",37,0.000408031301354594,0.000449578169593606,0.000495317368279197
"38",38,0.000408031301354594,0.000449578169593606,0.000495317368279197
"39",39,0.000369939419939604,0.000408391825934753,0.000450808888243009
"40",40,0.000369939419939604,0.000408391825934753,0.000450808888243009
"41",41,0.000386943533397793,0.00042686733962243,0.000470876088515058
"42",42,0.000386943533397793,0.00042686733962243,0.000470876088515058
"43",43,0.000405586752224903,0.00044746754354208,0.000493634930314385
"44",44,0.000405586752224903,0.00044746754354208,0.000493634930314385
"45",45,0.000387850791873901,0.000427740431524923,0.000471691395301827
"46",46,0.000387850791873901,0.000427740431524923,0.000471691395301827
"47",47,0.000420104118152203,0.000463943831171127,0.000512308657600677
"48",48,0.000420104118152203,0.000463943831171127,0.000512308657600677
"49",49,0.000376872688789029,0.00041657722074872,0.000460428503021135
"50",50,0.000376872688789029,0.00041657722074872,0.000460428503021135
"51",51,0.000398024909068906,0.000438967055660095,0.000484078692564769
"52",52,0.000398024909068906,0.000438967055660095,0.000484078692564769
